uuid,name,creditName,identifier,url,default
17112679-4775-4c4b-bb3d-bd08a6932b8d,Fake Jammin,Sexyy Red,7372449484263737360,https://www.tiktok.com/music/x-7372449484263737360,False
f38faa50-047c-401e-be9a-ab0a4bf2edfa,NEW DROP,Don Toliver,7402728257763805985,https://www.tiktok.com/music/x-7402728257763805985,False
7c90795d-3212-450f-9bda-a538216bfa60,overseas,Ken Carson,7357104167573277441,https://www.tiktok.com/music/x-7357104167573277441,False
5974ba6f-4c19-4866-9906-781f643ce3f7,Abrázame,Ángela Aguilar & Felipe Botello y El Sonoro Rugir,7403785109935441937,https://www.tiktok.com/music/x-7403785109935441937,False
3b80a822-cfa2-4831-9222-aa743514d24c,De Menino Virou Little Hair,DJ Meek & MC HULK & DINDO OG & DJDAVIDOB13 & DJ Geh da LGD & MC Cabelinho,7407911556738337542,https://www.tiktok.com/music/x-7407911556738337542,False
da789d46-9621-45e9-a301-3f4f09e91c9b,Olympo Rave,Kobe Mane & SoyFlowers,7367459206423283729,https://www.tiktok.com/music/x-7367459206423283729,False
59911ea3-a731-4f62-ae09-e569adea2ce3,AZAMAN,Rema,7390599663386118943,https://www.tiktok.com/music/x-7390599663386118943,False
59911ea3-a731-4f62-ae09-e569adea2ce3,AZAMAN,Rema,7389628165075159057,https://www.tiktok.com/music/x-7389628165075159057,False
9d5d4f24-f00b-4bc5-9620-9f855b96537b,Rise up Medley with Mad World,The Dreamers,7029420921559451649,https://www.tiktok.com/music/-----------------------7029420921559451649,False
9d5d4f24-f00b-4bc5-9620-9f855b96537b,Rise up Medley with Mad World,The Dreamers,6793116190714628098,https://www.tiktok.com/music/Czeski-Film-6793116190714628098,False
9d5d4f24-f00b-4bc5-9620-9f855b96537b,Rise up Medley with Mad World,The Dreamers,6858880721323313154,https://www.tiktok.com/music/Aku-Sayang-Padamu-6858880721323313154,False
9d5d4f24-f00b-4bc5-9620-9f855b96537b,Rise up Medley with Mad World,The Dreamers,6728972567073261570,https://www.tiktok.com/music/Ng------i-t--nh-m--a-----ng-6728972567073261570,False
9d5d4f24-f00b-4bc5-9620-9f855b96537b,Rise up Medley with Mad World,The Dreamers,7100857755627423745,https://www.tiktok.com/music/Lagu-Aceh-7100857755627423745,False
9d5d4f24-f00b-4bc5-9620-9f855b96537b,Rise up Medley with Mad World,The Dreamers,6817460220852176897,https://www.tiktok.com/music/Sound-effect-for-5-minutes-reflecting-the-image-of-outer-space-6817460220852176897,False
9d5d4f24-f00b-4bc5-9620-9f855b96537b,Rise up Medley with Mad World,The Dreamers,6817701285555341314,https://www.tiktok.com/music/Ona-jedyna-6817701285555341314,False
9d5d4f24-f00b-4bc5-9620-9f855b96537b,Rise up Medley with Mad World,The Dreamers,7029617212881995777,https://www.tiktok.com/music/Kamu-Selingkuh-Hati-7029617212881995777,False
9d5d4f24-f00b-4bc5-9620-9f855b96537b,Rise up Medley with Mad World,The Dreamers,6914504807898974209,https://www.tiktok.com/music/Phonk-6914504807898974209,False
